estou me sentindo um pouco podre, então não sou muito ambicioso agora; tristeza
compro algo, saio e vejo o que mais não comprei e, depois de um pouco de comparação aqui e ali, de repente me sinto insatisfeito com minha compra; raiva
tenho me sentido incrivelmente inadequado mais do que o normal e chegou a um ponto em que quase me sinto paralisado por isso; tristeza
fico espantado com a quantidade de homens que dizem que não se sentem amados se a casa está bagunçada e eles têm que preparar seu próprio jantar; tristeza
sinto um fim de semana inquieto vindo em nossa direção; medo
me sinto feia me cubro com um lindo cobertor em um vestido de faz de conta; tristeza
eu sempre disse que me senti tão abençoada por tê-lo e hoje esse sentimento é reafirmado muitas vezes; alegria
eu não posso usar sapatos de tiras no trabalho eu só me sinto estranho, então eu tirei estes da thrifted ninewest; medo
adoro o fato de ter a melhor aparência possível e me sentir ótima porque me alimento bem e me exercito constantemente; alegria
i artigo decente que eu sabia que provavelmente tinha boas informações porque minha resposta inicial foi me sentir ofendido e querer argumentar apesar do fato de que estava falando sobre não fazer exatamente isso; raiva
tenho momentos em que me sinto tão sobrecarregada que meus olhos se enchem de lágrimas; medo
comecei a me sentir grata pela comida por poder desfrutar de coisas tão deliciosas e comecei a cozinhar e assar refeições saudáveis ​​para minha família; alegria
eu não quero marcar pessoas que acham isso bobo, mas se há pessoas por aí que querem ser marcadas, eu não gostaria que elas se sentissem mal recebidas; tristeza
o que estou tomando está me permitindo dormir, o que é maravilhoso, mas está me deixando muito grogue e enjoada; tristeza
sinto uma sensação desagradável no estômago quando as portas do elevador se abrem no meu andar; tristeza
eu sinto que este é um grupo altamente talentoso quando rolando em todos os cyclinders; alegria
sinto sua mão em mim para permanecer fiel; amar
eu estava tão focado na minha respiração pesada que até mesmo as gotas de suor na minha testa eu esqueci de me sentir socialmente desajeitado; tristeza
não posso deixar de me sentir assim; tristeza
sinto que pediria comida para levar se morasse na área, ainda estou curioso para experimentar alguns de seus outros tacos; surpresa
eu sinto que estou com medo de qualquer anúncio qualquer coisa que vai acontecer e idc é bom ou ruim eu estou apenas com medo e espero que Deus me ajude em tudo o que eu fizer; medo
entrei na sala tive uma sensação horrível de dor nas profundezas do meu estômago; tristeza
fico muito feliz que a conhecida artista visual finlandesa vesa kivinen tenha me chamado para trabalhar com ele; alegria
eu me sinto relativamente seguro normal ou como você pode chamá-lo; alegria
me sinto mal-humorada dizendo isso, mas acho que no próximo sábado eu só quero ficar sozinha; raiva
sinto-me muito honrado por ter sido selecionado na categoria de voluntários embaixadores de pacientes, que reconhece membros do público e funcionários que fornecem ajuda e suporte excepcionais por meio de voluntariado ou fornecendo opiniões de pacientes em um fórum de parceria pública ou em um painel de pacientes; alegria
sinto-me bastante desamparado em tudo isso, então a oração é a ferramenta mais eficaz que tenho porque não tenho respostas e não há mais nada que eu possa oferecer a elas agora; tristeza
eu sei que você se sente bastante enojado com a propaganda esquerdista ininterrupta que o ministério produz, mas o público não está tão sintonizado; raiva
sinto-me complacente e satisfeito; alegria
me aventurei em tecidos e tecidos por capricho ontem me sentindo um pouco nervoso sabendo que seria tentado além do meu conforto; medo
eu não tenho sentido saudades de casa sabendo que eles estavam todos se reunindo para aproveitar a cozinha da minha mãe me fez querer um teletransportador; tristeza
me sinto feia e odiada; tristeza
eu estava sentindo se era louco triste desapontado ou pacífico; raiva
sinto como se tivéssemos uma equipe talentosa o suficiente para vencer alguns jogos e ir fundo no torneio; alegria
sinto que fui tão inocente por ter apenas um sonho para preencher meu cérebro e ser louco por ele; alegria
nunca me sinto deprimido porque meu câncer e eu aprendemos a viver e dormir um com o outro; tristeza
eu posso sentir a pressão caindo mais sobre meus ombros e estou me sentindo um pouco duvidosa de mim mesma, o que leva a pensamentos infelizes, geralmente não como o meu eu otimista, devo dizer; medo
eu meio que me sinto um pouco mesquinho sobre isso; raiva
o negociador de reféns no caso dela faz com que ela se sinta esperançosa quanto ao seu futuro; alegria
acredito que as pessoas devem escolher as causas pelas quais se sentem apaixonadas e fazer o que podem e não tenho o direito ou desejo de empurrar minhas próprias instituições de caridade como mais dignas do que outras; alegria
sinto-me privilegiada por poder entrar no santuário de seu estúdio, as muitas pinturas e estudos diferentes que revestem as paredes se transformam e crescem semana após semana; alegria
cresci me sentindo rejeitado pelos meus colegas homens; tristeza
sinto que é onde posso dar o meu contributo mais valioso e tentei fazer o máximo possível para garantir que fiz uma parte igual na construção; alegria
descrevi como estava sentindo a sensação de estar fora de controle e completamente inquieto o medo do que ainda poderia acontecer minha obsessão em tentar fazer tudo e o fato de que simplesmente não estava funcionando; medo
eu me sinto muito importante no meu quarto chique com meus móveis chiques e uma bela vista do centro de dallas; alegria
eu quero me sentir bem novamente; alegria
eu nunca sinto que não estou apoiando; alegria
eu quero que você saia dessa e simplesmente sinta simplesmente viva, ria, aproveite esta vida, não importa o quão idiota ela seja; tristeza
presumi que seria casual; alegria
eu admito e isso me deixou abalada e um pouco de ganso; medo
eu sinto que é perigoso especialmente para o novo crente que não está fundamentado na palavra de Deus; raiva
quando reorganizamos os móveis do nosso apartamento e ficamos presos em uma cadeira; raiva
estou me sentindo estressado e mais do que um pouco ansioso; raiva
perseverei em meio à tempestade de rejeições sentindo-me confiante de que estava fazendo o que Deus me chamou para fazer; alegria
eu estava me sentindo confortável na primeira luta eu vi coisas que estavam funcionando para mim, mas estou esperando um rendall munroe melhor porque acho que ele pode ter me subestimado na primeira vez; alegria
não tenho certeza de como ela realmente se sente sobre isso, porque tenho certeza de que ela percebe que vai sentir falta de assistir ao desfile, o que é algo que ela realmente gosta; alegria
me sinto um pouco falsa no grupo; tristeza
eu estava me sentindo particularmente chateado e queria ir a uma festa; raiva
sinto que ainda sou muito ruim em descrever meus sentimentos com boas palavras e frases bonitas; tristeza
eu me sinto tão de coração partido pelo trágico desaparecimento de paul walker a vida de alguém tão generoso, bonito e talentoso não deveria terminar assim enquanto outros indivíduos horríveis continuam vivendo torturando, agredindo e matando pessoas; tristeza
eu me sinto perfeitamente suave; alegria
eu sinto que tenho que dar crédito a jen mitchell por seu lindo cartão a href http www; alegria
estou alternando entre me sentir emocionada ao ver a família do meu pai neste fim de semana e apavorada por ser uma ovelha negra entre a normalidade deles; alegria
eu sinto pelo meu doce menino; amar
sinto-me tão impotente e supérflua como quando Jenn teve Elaine naturalmente; medo
eu pensei que não sentia mais nada estava acabado estava tudo bem hoje uma história diferente eu sinto ele eu quero ele meu coração dói pensando que ele não estará por perto eu ainda o quero por perto eu acho que ainda é válido; alegria
estou me sentindo melhor, então espero que as coisas comecem a voltar à velha rotina; alegria
espero que você se sinta incrivelmente legal agora; alegria
assisti ao noticiário na tv; raiva
eu realmente não fui procurá-lo, mas eu posso definitivamente ver de onde vem o navio enjorlas marius embora infelizmente eu sinta que é principalmente unilateral e que marius nada mais é do que um estudante rico seguindo seus caprichos sem pensar nas consequências; alegria
eu sinto que deveria, como um gesto gracioso, pedir desculpas pelo meu último post sobre os termos de licença do osp e do rand; amar
as pessoas me perguntam como é ser o homem mais odiado do condado de Dallas disse o assessor Steve Helm; tristeza
denunciei sentir-me marginalizado, intimidado e/ou submetido a ameaças de retaliação; medo
não tenho certeza se estou mais em paz com a nossa situação ou se não estou me sentindo tão amargurada com isso, mas nos últimos cinco meses algo mudou dentro de mim; raiva
estou me sentindo profundamente em paz; alegria
sinto-me mal então por não aceitar quem sou; tristeza
tentei separar a área para as casas dos gatos nesta hora do almoço, mas acho que depois da provação da impressora estou me sentindo bastante tenso, por isso foi colocado em espera; medo
eu fiz isso me fazer sentir burro e mais burro; tristeza
eu tenho sentimento de poder para justificar a preguiça deles e ser malvada contra garotas magras; raiva
sinto que minha doce companhia está finalmente se unindo; amar
estou fazendo mais alguns ícones de humor agora para que vocês vejam como eu me sinto e penso e é claro que é tudo encantador; alegria
sinto que não sou aceito aqui e contrariando essa força que vem de todos os cantos que me diz que algo está errado comigo se não for casado e com filhos; alegria
peço desculpas se as fotos não estiverem com uma qualidade muito boa, mas se você está sem ideias fique a vontade para conferir os sites nas legendas; alegria
eu me sinto bem agora, apesar de ter acabado de queimar o jantar, oops; alegria
sinto por esta massa de terra divina e todo o respeito que carrego em meu coração pela grandeza que nela reside; alegria
eu sinto mas não gosto muito dessa palavra; amar
me sinto vulnerável sem saber o que está por vir e sinto que o resto da minha vida depende do hoje; medo
eu me sinto tão malditamente agitado; raiva
sinto-me confiante perto dele e estou sempre lá se ele precisar de ajuda; alegria
me sinto irritantemente isolado no albergue com todas aquelas pessoas conversando fora do quarto etc; tristeza
sinto que o alcoolismo é algo amplamente aceito como norma na cultura gay; alegria
só agora estou percebendo que não tomei uma coca diet hoje e isso me deixa orgulhoso independente das outras porcarias que consumi hoje; alegria
também sinto que aceitei o meu lado negro e estou finalmente a perceber o que é saudável do meu lado negro; alegria
já falei antes, mas o sentimento está ficando mais forte e estou curioso para saber se outros têm pensamentos semelhantes; surpresa
eu me sinto um pouco aborrecido com tudo isso; tristeza
espero que seja porque ele entende o que eu sinto espero que ele veja o que pode perder e esteja deixando de lado os pensamentos negativos mesquinhos; raiva
me sinto tão abençoado por poder compartilhar com todos vocês; alegria
eu me sinto um pouco virtuoso fazendo essas coisas, mas por outro lado, nini s tinha um gosto melhor; alegria
eu digo que quero ser mais pessoa do povo, mas me sinto muito tranquilo agora; alegria
eu pego um dos meus livros favoritos para me sentir miserável; tristeza
estou convencido de que vou me afastar do que for realmente bom para mim; alegria
eu me sinto meio estranho em fazer isso aqui vai; tristeza
sinto que não deveria me surpreender com esse desenvolvimento; surpresa
sou de fungar e me sentir sem graça; tristeza
preciso me sentir criativo e produtivo; alegria
sou quem Deus escolheu para ajudar minha filha a se tornar a mulher que Deus pretendia que ela fosse, mesmo que não me sinta perfeita; alegria
não estou me sentindo muito mal, exceto que minhas costelas estão doendo e eu tenho um músculo distendido na região da minha omoplata de todas as minhas horas excruciantes de cortar meus pulmões na noite passada; tristeza
estou a ponto de me ressentir dele e não quero estar; raiva
eu escrevo isso me sinto estranhamente calmo como querer apenas relaxar em uma grande cadeira ou deitar ao sol; alegria
eu me sinto realmente inspirado; alegria
sei que digo a algumas pessoas, se sinto que sua pergunta é sincera, alguns dos meus tesouros sagrados; alegria
eu posso sentar aqui e chorar e me sentir injustiçado, mas isso não vai mudar o resultado; raiva
eu estava preocupado que talvez ela estivesse dormindo tão bem porque ela não estava recebendo leite suficiente e estava se sentindo letárgica; tristeza
vou aprender ativamente mais sobre esses gêneros e/ou praticá-los para que eu possa sentir o que eu deveria sentir como dançarina gt destemida corajosa confiante ufa; alegria
comecei a me sentir um pouco estressado por sair na hora e ter certeza de que tínhamos as fotos de preparação que eu queria, mas tudo parecia funcionar perfeitamente; raiva
sinto-me como um monstro feio onde não posso mostrar quem realmente sou para não parecer estranho ou simplesmente um pária; tristeza
eu me sinto um pouco culpado por termos essa garotinha excepcional da Etiópia em casa e em nossos braços, mas este blog continua cercando ganso; tristeza
eu sinto a necessidade de colocar um bronzeado falso para sair à noite para me dar um pouco de cor minhas roupas fazem isso por mim; tristeza
eu sinto uma conexão emocional real com a rainha do gelo do norte agora que você revelou que a desumanidade corre em sua família sangrenta; tristeza
tenho desenhado brincos para madrinhas de algumas clientes que me sinto honrada em fazer; alegria
eu poderia adotar e quais mensagens eu poderia pensar para me ajudar a me sentir mais em paz, mais grata e apenas mais feliz agora; alegria
sinto-me completamente inútil, mas ouvi dizer que isso é bastante normal para os norte-americanos neste momento; tristeza
não me sinto bem o suficiente para cozinhar; alegria
eu me sinto tão mal com isso e ele ficou ali perplexo; tristeza
eu podia sentir centenas de pessoas amorosas em todo o mundo se conectando com a terra, era simplesmente lindo; amar
sinto que não ter um espírito generoso ou uma natureza perdoadora me impede de aceitar presentes do universo; amar
me sinto aceita e amada por uma comunidade de garotas derby que ajudei a criar; alegria
eu me sinto totalmente desgostoso comigo mesmo agora e estou contemplando a morte a cada momento desde que ela pronunciou essas poucas palavras; raiva
muitas vezes me sinto confuso sobre se tenho bipolaridade ou apenas uma natureza pecaminosa do núcleo duro; medo
estou me sentindo muito agradecido; alegria
me sinto privilegiado por ter jogado contra ele; alegria
eu li em um lugar onde eu estava me sentindo menos que perfeito; alegria
estou feliz mas sinto toda essa pressão para fazer uma coisa ou outra e isso me deixa infeliz; tristeza
eu sinto que vale a pena dar a todos vocês um tamanho de cidade mais aprofundado se vocês olharem para um dos nossos dias de ciclo; alegria
eu ainda estava me sentindo tão exausta dos meus treinos de segunda e terça que tudo que fiz foi dar uma volta no parque por cerca de 1 hora; tristeza
agarrei minha cachorra e abracei-a ferozmente durante a próxima hora ou assim até que comecei a me sentir um pouco como eu novamente, mas não me afastei completamente do sentimento e tenho me sentido bastante deprimido e ansioso o dia todo; medo
eu me senti inibido e a silenciei bastante; tristeza
eu admito que estou com jet lag, então durante o dia eu me sinto grogue quase de ressaca enquanto à noite quando todo mundo está aconchegado e cochilando uma luz aparece no meu cérebro e eu me transformo no coelho sempre pronto; tristeza
muitas vezes me lanço no trabalho quando não estou com eles essa mesma máxima da semana passada se me sinto desencorajado a maneira de seguir em frente é oferecer encorajamento aos outros; tristeza
sinto-me muito melhor sobre a forma como escrevi este pedaço de código; alegria
eu deveria sentir simpatia por Emma, ​​tenho medo de ter falhado; medo
eu sinto que por dentro esta vida é como um jogo às vezes então você veio ao meu redor as paredes simplesmente desapareceram nada para me cercar me proteja dos meus medos estou desprotegido veja como eu me abri você me fez confiar porque nunca me senti assim antes estou nu ao seu redor mostra; tristeza
não tenho mais energia para ficar com raiva ou chateado apenas me sinto um pouco resignado; tristeza
não posso dizer quantas vezes nos quatro meses em que estivemos nos vendo seriamente que tivemos que ter sérias conversas emocionais porque um de nós ou ambos estava sentindo ternura; amar
estou me sentindo tão emocionada com a chegada de seus irmãos; tristeza
estou até me sentindo querido pelas garotas que odeiam praticamente todo mundo; amar
passo o dia sentindo seus movimentos e me surpreendo que algo tão milagroso esteja acontecendo no meu corpo é como um segredo especial que só você e eu temos; surpresa
sinto que é valioso e quero compartilhar; alegria
eu me sinto tão mal amado sem você perto de mim, mas quando estou com você; tristeza
sinto-me caindo no poço de comprá-lo dela acho que ele está falando sério só sou cético em relação às mulheres; medo
eu estava aprendendo a lidar apenas com a náusea e gerenciar o desagrado disso no trabalho tentando impedir que alguém soubesse, mas minha irmã me disse que não havia necessidade de sofrer e me sentir miserável para chamar meu dr para algum zofran; tristeza
estou me sentindo ganancioso por agora; raiva
justifico me sentir menosprezado ou estou apenas sendo ingrato; tristeza
eu sinto que está esperando nos bastidores apenas esperando pacientemente que eu me distraia o suficiente para que possa me derrubar e levar tudo que eu amo neste mundo e me destruir; raiva
eu sinto que estraguei tudo, mas eu tenho que proteger um e a mim mesmo; raiva
sinto que minha mente está vazia e vazia; tristeza
não me sinto confortável jogando com eles apresentando o bandido como realmente um mocinho incompreendido ou vice-versa; alegria
eu escuto os conselhos do meu transtorno alimentar eu realmente me sentirei melhor; alegria
comprei o iphone gb, ganhei um crédito na loja da apple, sinto que eles foram solidários com os primeiros compradores e responderam adequadamente; amar
estou me sentindo muito mais otimista em relação ao meu futuro; alegria
eu me sinto chateado e com raiva; raiva
Eu não pude deixar de sentir por ele e por essa terrível situação com a qual ele vive diariamente e todas as noites e eu estava tão feliz que uma vez que Bel começou a ver a luz, ele a segurou e ficou ao lado de Daniel enquanto ninguém mais o fez, incluindo sua família que estou com medo de ter ficado realmente desgostoso; tristeza
estou me sentindo tão completamente suave e perfeito esta noite; alegria
tenho curiosidade porque gostaria de explorar o que está no topo da planta helterskelter; surpresa
aprendi que há anjos na terra que me sentem como eu os sinto que estão ao lado com um pensamento amoroso, um coração curador ou uma mão firme, assim como eu também ofereceria sem hesitar um momento em troca sempre; amar
eu sinto que a embalagem é realmente linda e o produto em si faz tudo o que você pede; amar
sinto que o ignorei por muito tempo este ano; tristeza
sei diferente porque sinto em seus abraços e beijos que sou perfeita do jeito que sou; alegria
estou me sentindo um pouco mais relaxado certamente não estou me sentindo revigorado graças aos caras bêbados que decidiram soltar fogos de artifício a cada meia hora a noite toda seria super divertido e o fato de que é impossível dormir no frio com uma criança reclamando mas eu certamente reiniciei; alegria
Eu definitivamente sinto que há algumas informações úteis aqui para qualquer pessoa que esteja enfrentando perguntas semelhantes às que eu tive durante esse período da minha vida; alegria
eu também sinto uma sensação de melancolia por eles; tristeza
fico triste se algumas pessoas estão descontentes com a bandeira por motivos religiosos, mas eu conheço muitas pessoas religiosas que não sentem que isso vai contra sua fé e eles são muito solidários; amar
mas não me sinto corajoso; alegria
caminhei perto do hotel e me senti muito óbvio e inquieto todos os avisos sobre pequenos crimes que li no guia e talvez alguns resíduos de anos atrás me deixaram me sentindo ameaçado; medo
sinto que finalmente estou perdendo aquele pedacinho teimoso extra na minha barriga; raiva
estou me sentindo oprimido por tentar fazer tudo o que penso nas mulheres diante de mim; surpresa
lembro-me de ter me sentido tão assustado que pude sentir emoções em um nível tão alto; medo
eu sinto por dentro porque eu estou tão excitado; amar
testei positivo mas nunca usei drogas e me sinto inocente diz martina; alegria
Estou tão orgulhoso de você que nenhuma palavra pode descrever o jeito que faz meu coração se sentir obrigado Deus pelo meu apoio incrível hubbard; amar
fiz sobre sexo Sinto que as mulheres gostam de sexo quando seu corpo e suas emoções são admirados e respeitados; amar
não sinto necessidade de criar uma conversa aceitável; alegria
eu tinha acabado de subir e descer uma longa encosta íngreme cheia de grama e arbustos, então eu estava me sentindo bastante duvidoso de ser capaz de encontrá-lo; medo
eu realmente gosto do esquema de cores, pois me faz sentir tranquilo, limpo e simples; alegria
eu me sinto tão coxo; tristeza
eu pessoalmente sinto que é um presente muito criativo e tudo embalado dentro de um saco de papel pardo; alegria
me sinto tão destemido nestes dias pós-luto; alegria
me sinto tão abençoada por estar casada com ele porque ele ama seus enteados; alegria
deixei Martin de volta eu era o dd eu parei e porque eu estava me sentindo excepcionalmente extrovertido acenei e conversei com alguns dos meus vizinhos no andar de baixo; alegria
sinto-me mais fiel do que nunca; alegria
estou me sentindo aliviada por me sentir de novo; alegria
às vezes me sinto um pouco indesejável; tristeza
eu me sinto complacente no momento; alegria
me sinto mais apaixonado por despertar minhas emoções parecem ser as coisas que preciso aprender algo sobre minha emoção me diz que há necessidade de crescer em alguma direção; amar
eu sinto que só faz de você uma pessoa que eu amo que por acaso fez algo que eu não acho aceitável; alegria
eu não só não perdi nenhum fio, mas agora terminei meu primeiro projeto de renda e me sinto muito satisfeito; alegria
quero que saibas que se me tornar primeiro-ministro daqui a menos de um ano terei orgulho em fazê-lo como amigo de israel, judeu e acima de tudo alguém que se sente orgulhoso por fazer parte da comunidade aqui reunida hoje ; alegria
sinto-me um pouco seguro para experimentar a hospedagem; alegria
não sigo muitas pessoas e não tenho muitos seguidores no entanto tenho a sensação de que as pessoas de quem estou falando podem saber quem são não estou tentando ser rude estou apenas sendo real; raiva
nunca me sinto só enquanto as pessoas amam e apoiam meu trabalho; tristeza
tenho tanta coisa acontecendo na minha vida e estou constantemente correndo como um louco. Sempre posso roubar um momento de silêncio para reconhecer essa criança e a emoção e a expectativa avassaladoras de que sinto que Deus é verdadeiramente fiel e traz tudo; amar
eu suspeito que seu raciocínio pode ser simplesmente para acalmar a maçã e se sentir complacente; alegria
eu me sinto tão exausto por um; tristeza
preparo sinto-me grato por esses eventos tocarem em tantas preocupações diferentes em minha poesia, desde questões linguísticas até estéticas pacíficas, da vanguarda à ecopoesia; alegria
conheci o meu actual namorado numa viagem de barco para inglaterra dissemos que nos ligaríamos quando voltássemos para a suécia não íamos para a mesma cidade em inglaterra assim que entrei ele ligou da inglaterra pois não podia espere até ele voltar para casa; alegria
me sinto inspirada tantas coisas que quero escrever; alegria
estou muito magoado e me sinto sem importância; tristeza
sinto vontade de desinstalar o skype desativando todas as minhas contas do facebook e hatena desde que estou me tornando uma pessoa odiosa e não quero ficar pior do que estou agora; raiva
comecei a me sentir trêmulo e enjoado e ansiava por minha conexão com cairns para compensar um pouco da privação; medo
eu estava me sentindo aventureiro então eu fui com alguns sabores asiáticos de gengibre e óleo de gergelim para minha salada; alegria
eu estava praticando um esporte em uma classe avançada de educação física e muitas das pessoas não eram avançadas; raiva
eu causo extrema preocupação e angústia chão para lembrar com carinho você para sempre mary se prepara para sentir tempo infeliz eventualmente a intensa emoção ter amor sexual condescende em vir ela com a mão põe força wu boca não se deixe chorar; tristeza
eu me sinto tão ganancioso de férias e esquecendo minhas responsabilidades; raiva
quero dizer, às vezes me sinto como um disco quebrado; tristeza
estou me sentindo um pouco sem coração porque recentemente ouvi as palavras amor incondicional e não consegui encontrá-lo em mim mesmo; raiva
sinto-me insatisfeito e mais acostumado à cura; raiva
estou em dúvida sobre todos os padrões e cores trabalharem juntos, mas não podemos ter certeza até que tudo se encaixe; medo
eu quero voltar ao hábito de blogar sobre todas as coisas legais e divertidas que estou fazendo, mas também estou tentando sair dessa rotina de apenas escrever sobre me sentir uma merda; tristeza
ainda estou me curando de ter meu coração partido ainda me curando de sonhos desfeitos ainda duvidando de mim mesmo ainda me sentindo confuso; medo
os homens têm se sentido péssimos nas últimas semanas, o que acabou com uma ida ao hospital no último sábado, o que prejudicou o aniversário de casamento; tristeza
eu leio sobre ele e aprendo sobre ele em suas entrevistas, mais eu sinto que nunca poderia merecer alguém tão gentil e compassivo; amar
eu sinto que isso é estranho em nome da wotcs; surpresa
dou um passeio no parque me sentindo alegre; alegria
sinto-me calmo, silencioso e protegido pela definição desta existência; alegria
quero ter certeza de que minha vida será boa e sei que será quando eu confiar no senhor; alegria
eu me sinto seguro com berry; alegria
já estou com inveja; raiva
eu chupo é a cidade chata e monótona e a sensação de sentir falta da minha família e do meu namorado; tristeza
sinto que tenho todas essas coisas fofas, mas não me sinto confortável nelas e não sei como juntá-las; alegria
me sinto um cortador emocional; tristeza
acordo de manhã e quando vou dormir à noite sinto aquela voz semente em meu coração que está gritando do meu coração vazio costurado; tristeza
recebi o cobertor fiquei absolutamente maravilhado com o quão fofo ele é e extremamente macio eu realmente não pensei que ia ser tão incrível; surpresa
sinto que às vezes não sou talentoso o suficiente; alegria
acho que seria tolo e talvez um pouco desrespeitoso considerar fazer a longa corrida montanhosa; tristeza
eu menciono meu filho mais velho antes do meu mais novo, seus sentimentos serão feridos; tristeza
eu acordei hoje me sentindo meio estranho; medo
estou cansado de me sentir sem importância como se ninguém precisasse de mim; tristeza
estou me sentindo bastante angustiada e desanimada com minha batalha contra a insônia; medo
me sinto odiado em cempaka; tristeza
sinto-me entorpecido, mas só porque tenho tantos sentimentos fodidos que deixei de senti-los; tristeza
Costumo usar a Disney para me animar quando estou me sentindo pra baixo e esses últimos dias não foram exceção; tristeza
tenho me sentido um pouco derrotado, talvez até ignorado; tristeza
me sinto tímido por causa do que estou vestindo; medo
eu posso dizer é que contanto que você goste da história, ela o entretém e faz você se sentir emocional, seja triste feliz com raiva enojado ou simplesmente com tesão, então quem realmente se importa; tristeza
chorei enquanto Jackson dormia me sentindo oprimido pela sensação de que não quero morrer; medo
sinto-me confiante em ser eu novamente na vida pessoal e quando minha vida profissional estava indo bem com meu chefe entendendo lentamente por que continuamente peço e exijo que abordemos as questões difíceis que causam problemas em nossos vários departamentos; alegria
não sei se a presença dele é a razão pela qual sinto mais saudades do Reino Unido do que dos EUA ou apenas por estar aqui me faz sentir saudades da minha antiga casa; tristeza
mencionei no meu último blog que comecei a ter a sensação de que fui pressionado a estudar coisas de que não gosto, o que também me transformou em uma pessoa que talvez não seja totalmente; medo
eu só faço de má vontade e sempre me deixa mal-humorado e inquieto; raiva
tenho que dar aos homens como mulheres reclamamos muito dos curativos que temos que usar, mas pelo menos podemos usar um vestido e nos sentir bem no verão; alegria
eu sinto que deveria estar ouvindo chinesepod e trabalhando no meu mandarim, mas o que eu realmente quero ouvir é o podcast de amor selvagem ou conversa de carro; raiva
tenho certeza de que as armas estão trancadas no cofre de armas, tornando impossível para qualquer uma das crianças acessá-las; alegria
também acho que essa conversa poderia facilmente se encaixar em outra sobre imagens e objetos que são feios para servir ao propósito de ser irônico; tristeza
eu não quero fazer deste blog algo que eu apenas lamento o tempo todo, mas eu sinto que fui derrotado com um dois por quatro ou algo assim; tristeza
eu me sinto mal por eles desperdiçarem seu tempo e esforço para nada; tristeza
eu me sinto sobrecarregado e você; surpresa
eu continuei tentando fazê-la se sentir melhor; alegria
eu consigo fazer os funcionários se sentirem valorizados, eu realmente sinto, mas nesta economia onde outros k empregos foram despejados na semana passada, eu suspeito que a maioria das pessoas está pensando como Rudy e eu agradeço a Deus que ainda temos um emprego; alegria
sinto-me sortuda por terem escolhido compartilhar suas vidas comigo; alegria
eu me sinto envergonhado o suficiente; tristeza
mas não estou com pena de mim porque só penso naquelas pessoas pobres que perderam a vida ou tudo o que têm por causa da areia; tristeza
contado por algumas pessoas o líder de classe só escolhe seus amigos não verdadeiros; raiva
eu paro de me sentir culpado; tristeza
eu sei que algumas pessoas gostam mais do prazer de ir e fazer pedicure porque você pode simplesmente sentar lá e aproveitar a sensação maravilhosa de outra pessoa massageando seus pezinhos macios o tempo todo folheando as páginas de um livro ou revista; amar
li este livro pela primeira vez durante a faculdade e ele me ajudou a lidar com a sensação de desamparo e medo do futuro incerto; medo
eu posso ser criativo se eu quiser ou apenas sentar e conversar com os clientes as pessoas são todas adoráveis ​​mesmo kermit ajuda a ver; amar
tenho a sensação de que donald é inteligente o suficiente para se educar através de seus próprios meandros densamente focados e suas deficiências inerentes; alegria
eu estava me sentindo frenético; medo
eu sinto que é extremamente perigoso para ela estar vagando no mar; raiva
sou muito grato por ter sido preenchido pela conferência geral e por sentir o alegre poder do espírito após um fim de semana tão maravilhoso; alegria
eu acho que seus espectadores esta noite vão gostar do show vindo de malm eles vão gostar de algumas coisas e gostar menos de outras, mas espero que eles se sintam entretidos e apaixonados e sintam o desejo de votar, independentemente de seu país votar esta noite ou não; alegria
eu sempre quero me sentir tão vulnerável; medo
comprei esta mochila doraemon de uma loja de caridade, tinha toda a intenção de colocá-la na minha loja etsy, mas acho que é fofa demais para vender; alegria
estou encarando o próximo ano como uma aventura que muito provavelmente me fará amaldiçoar a matemática e outras matérias, mas eventualmente me fará sentir aliviado; alegria
eu posso colocar isso sem palavras já que eu simplesmente não consigo digitar que estava tão lindo esta manhã sim estou me sentindo sarcástico hoje; raiva
sinto-me um pouco indesejável em muitas comunidades católicas, mas espero que não seja o caso aqui; tristeza
eu levanto diferente agora porque doeu tanto no dia em que aconteceu que eu não consigo tirar isso da minha mente e me sinto um pouco tímido; medo
eu estava com saudades de casa hoje, então decidi fazer uma lista de pontos turísticos típicos da cidade que podem ser usados ​​caso você decida visitar a maior cidade da suíça; tristeza
com certeza vou me sentir mais brincalhão em breve, mas não posso agora; alegria
eu não poderia me sentir mais abençoado neste momento; alegria
eu sinto que roxo rico e dourado são uma combinação feita no céu e isso reforça essa crença; alegria
sento-me no mesmo albergue há quase dois meses desta vez vestindo uma jaqueta e sentindo como se meus dedos dos pés estivessem um pouco dormentes de frio; tristeza
me sinto perdido sem você; tristeza
eu me sinto inteligente quando descubro as coisas sozinho; alegria
agora estou me formando em dois dias, mas me sinto tão triste agora; tristeza
eu me sinto muito desobediente por sair da minha espécie, mas você é irresistivelmente diferente; amar
quero me sentir menos estressado; tristeza
ainda me sinto nervoso; medo
me vem à mente um estranho sentimento de ordem natural cruel e viciosa aqui parece que ninguém é capaz de escapar da cidade os ciclos de predador e vítima alcançando qualquer um que tenta se elevar para fora do atoleiro; raiva
eu me sinto mais violento do que nunca agora; raiva
sinto-me em êxtase e privilegiado; alegria
eu sinto que ele será perfeito para este evento; alegria
saí daquela experiência sentindo como se tivesse tido um encontro com o divino; alegria
fico um pouco triste ao saber que algumas das crianças também se demitiram durante a minha ausência; tristeza
