text;emotion;texto;emocao
i feel rather petty that i just dont have time to have someone talented like christine make it;anger;eu me sinto um pouco mesquinho por não ter tempo para ter alguém talentoso como christine fazendo isso;raiva
i feel foolish and desperate almost for feeling so strongly about this;sadness;eu me sinto tolo e desesperado quase por sentir tão fortemente sobre isso;tristeza
i feel more irritated than peaceful;anger;eu me sinto mais irritado do que tranquilo;raiva
i feel troubled lord and i honestly don t know why;sadness;eu me sinto incomodado senhor e eu honestamente não sei por que;tristeza
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness;sadness;posso folhear algumas páginas antes de sentir aquela dor de cabeça surda crescendo na base do meu crânio e a essa altura estou me chutando por ter causado um temido caso de enjoo no carro;tristeza
i do feel very successful right now;joy;eu me sinto muito bem sucedido agora;alegria
i can only feel sorry for us that the relationship didnt work out;sadness;eu só posso sentir pena de nós que o relacionamento não deu certo;tristeza
i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend;sadness;eu quero expressar meu sentimento eu não sei como começar mas sério eu me sinto tão miserável agora amor ou amigo;tristeza
i feel distraught worried panicked sick scared sad;fear;eu me sinto perturbado preocupado em pânico doente assustado triste;medo
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself;sadness;comecei a sentir-me vazio e isto foi depois de ter bebido vários sumos e muita água a água só vai fazê-lo sentir-se cheio durante algum tempo mas foi bastante bom a enxaguar do meu buraco da tarte os sabores pútridos me forçaram;tristeza
i do feel very angered though;anger;eu me sinto muito irritado embora;raiva
i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd;love;eu sinto a necessidade de dar minha mão na promoção leal de greg weismans baby na esperança de que a disney algum dia o pegue de volta ou pelo menos venda o resto da série em dvd;amar
i watch movies set in the s and s i feel pangs of melancholy;sadness;eu assisto filmes ambientados nos anos e anos eu sinto dores de melancolia;tristeza
i feel like i am going to throw up or something i hated that site soooo much;sadness;eu sinto que vou vomitar ou algo que eu odiei muito esse site;tristeza
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity;joy;acordei no sábado a sentir-me um pouco mais alegre e estava muito desejoso de sair ao ar livre depois de passar o dia todo a sexta-feira a chafurdar em auto-piedade;alegria
i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it;love;eu tenho uma esperança eterna ele diz e quando eles chegam na ponte ela descobre que gosta muito da sensação do sorriso carinhoso em seu rosto para escondê-lo;amar
i feel and bruise my how was anybody to be punished;sadness;eu sinto e machuco meu como alguém poderia ser punido;tristeza
i woke up even more tired than the night before and feeling groggy;sadness;eu acordei ainda mais cansado do que na noite anterior e me sentindo grogue;tristeza
i feeling irritable;anger;estou me sentindo irritado;raiva
i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better;sadness;sinto este tipo de impulsos emocionais tento identificar as suas raízes intelectuais para as poder compreender melhor;tristeza
i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing;joy;eu provavelmente deveria mencionar para que você não se sinta excluído que o almoço foi em comemoração aos melhores participantes da competição de discursos de liderança outra razão para entrar na competição a comida estava deliciosa e a conversa foi divertida;alegria
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic;joy;senti que as pessoas de lá apreciavam o que tinham e muitos tinham felicidade daquele jeito pináculo que não é materialista;alegria
i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly;sadness;percebi que são aqueles malditos gordos gananciosos filho da puta que me fizeram sentir tão humilhada tão sozinha e tão feia;tristeza
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it;joy;sinto como se fosse uma forma de me distrair dos meus pensamentos positivos e tive que trabalhar muito para mudar os meus pensamentos hoje mas consegui;alegria
i can tell most of the time what shes really feeling and she was being really sincere;joy;eu posso dizer na maioria das vezes o que ela está realmente sentindo e ela estava sendo muito sincera;alegria
i feel like mike is loyal and will always be loyal;love;eu sinto que o Mike é leal e sempre será leal;amar
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them;anger;eu não tenho nenhum problema com o óbvio eu fui chinês com eles ontem e eu não estava me sentindo hostil em relação a nenhum deles;raiva
i feel like im actually doing somewhat well with it and right now im getting my swing down;joy;eu sinto que estou realmente indo um pouco bem com isso e agora estou pegando meu swing;alegria
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given;sadness;eu sinto que estou sendo punido por muitos anos impensados ​​de assumir que as armadilhas do sucesso foram conquistadas e não dadas;tristeza
i feel like i have to dumb myself down in order to communicate effectively;sadness;eu sinto que tenho que me emburrecer para me comunicar de forma eficaz;tristeza
i still feel quite loyal in other views on the conservative side;love;ainda me sinto bastante leal em outras visões do lado conservador;amar
i guess i am just feeling slightly shaken at this sudden news;fear;acho que estou me sentindo um pouco abalado com essa notícia repentina;temer
i still feel funny;surprise;eu ainda me sinto engraçado;surpresa
im tired of feeling troubled stressed up feeling down and falling sick;sadness;estou cansado de me sentir incomodado estressado me sentindo pra baixo e ficando doente;tristeza
i felt a bit bad about killing but it always feels like a chore that simply distracted from exploration;anger;eu me senti um pouco mal por matar, mas sempre parece uma tarefa que simplesmente distrai da exploração;raiva
i wont be so sure to feel optimistic about this either;joy;eu não vou ter tanta certeza de me sentir otimista sobre isso também;alegria
i feel bad about being depressed because theres still a part of me that wants to believe that i can think my way out of this then i feel bad about wanting to starve so i do the opposite;sadness;sinto-me mal por estar deprimido porque ainda há uma parte de mim que quer acreditar que posso pensar na minha saída depois sinto-me mal por querer morrer de fome por isso faço o contrário;tristeza
i feel like im worthless;sadness;eu me sinto inútil;tristeza
i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow;anger;eu sinto demais, mas eu não me importo, não, eu não me importo, eu não me importo, Savage Garden, seus três planos para amanhã;raiva
i was left feeling a little delicate but thoughtful;love;fiquei me sentindo um pouco delicado, mas pensativo;amar
i can feel myself agitated now so im going to have to leave work in a sec;anger;eu posso me sentir agitado agora, então eu vou ter que sair do trabalho em um segundo;raiva
after receiving the grade on the paper mentioned in fear;sadness;depois de receber a nota no papel mencionado com medo;tristeza
i cant help but feel a little jubilant as i walk through the arrivals gate;joy;não posso deixar de me sentir um pouco jubiloso enquanto ando pelo portão de desembarque;alegria
i thought it might and it makes my hair feel lovely and silky;love;eu pensei que poderia e faz meu cabelo ficar lindo e sedoso;amar
i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core;sadness;eu poderia explicar como ww é um plano que lhe dá liberdade e limites sem se sentir privado e como encontrar o seu nicho em se mexer e suar faz toda a diferença ou as porcas dos parafusos das escolhas do dia a dia a minha história a minha luta vai fundo o nucleo;tristeza
i imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe moving through me your feet tangled with mine;sadness;eu imagino como seria te abraçar nada perverso só te conhecer sentir o calor da sua respiração passando por mim seus pés emaranhados nos meus;tristeza
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature;joy;senti que os rapazes estavam em desvantagem perdendo todos os entretenimentos excitantes em casa para as crianças mas agora sinto que eles tiveram uma oportunidade preciosa de se aproximarem e familiarizarem-se com a natureza;alegria
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife;joy;eu sei que ele está sentindo para mim é sincero então eu poderia tolerar esses pequenos problemas, mas eu não suporto esse personagem no desempenho da vida sexual de marido e mulher;alegria
i was just yesterday feeling uncomfortable with highschool sigh;fear;eu estava ontem me sentindo desconfortável com o suspiro do ensino médio;medo
i am already feeling heartbroken and alone again;sadness;eu já estou me sentindo com o coração partido e sozinho novamente;tristeza
i don t know what i want in my life at the moment and even though things are really good and stable in many ways i still don t feel content with it;joy;não sei o que quero na minha vida neste momento e apesar de as coisas estarem muito boas e estáveis ​​em muitos aspectos ainda não me sinto contente com isso;alegria
i feel like these were pretty productive days although i couldve cut back on the thinking as usual;joy;sinto que estes foram dias bastante produtivos, embora eu pudesse reduzir o pensamento como de costume;alegria
i feel angry man named muaz;anger;eu sinto raiva homem chamado muaz;raiva
i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about;fear;eu amo como eu posso me sentir totalmente angustiada e sem esperança, mas quando eu coloco um disco de olhos brilhantes ou algo assim, de repente eu tenho essa percepção de que há mais na vida do que a merda com que me preocupo;temer
i was abruptly reminded of why i was feeling so agitated in la;fear;fui abruptamente lembrado de por que estava me sentindo tão agitado em la;temer
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball;joy;estou me sentindo incrível principalmente normal estou indo para uma festa de ação de graças com nossos amigos daquela época em que estávamos no softball;alegria
i feel very peaceful about the whole situation;joy;eu me sinto muito tranquilo sobre toda a situação;alegria
i feel invigorated by the;joy;eu me sinto revigorado pelo;alegria
i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore;sadness;andei milhas e não me senti cansado, mas notei que minhas partes inferiores ou a frente do meu osso pélvico estavam dormentes e doloridas;tristeza
im getting there but i really do feel dazed and confused at the moment;surprise;estou chegando lá, mas eu realmente me sinto atordoado e confuso no momento;surpresa
i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood;fear;também gosto de partilhar a minha felicidade espalhando um sorriso no trabalho por vezes sinto que as pessoas para quem trabalho são um pouco tensas por isso é bom adicionar alguma conversa para aliviar o ambiente;medo
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile;anger;eu era o compere em uma festa e todos os meus esforços para fazer o show rolar foram frustrados pelo imóvel;raiva
i feel so resentful about having to take care of us and not getting to do what i want to do;anger;eu me sinto tão ressentido por ter que cuidar de nós e não conseguir fazer o que eu quero fazer;raiva
i feel every part of me agitated by the reality of the kingdom walk the talk;anger;eu sinto cada parte de mim agitada pela realidade do reino anda a falar;raiva
i have gained lbs back and i feel terrible about it;sadness;eu ganhei libras de volta e me sinto terrível sobre isso;tristeza
i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me;sadness;eu não digo nada porque não quero causar confusão e odeio quando as pessoas sentem pena de mim;tristeza
im feeling so excited and eager;joy;Estou me sentindo tão animado e ansioso;alegria
i feel really listless right now;sadness;eu me sinto realmente apático agora;tristeza
i feel pathetic at times because;sadness;eu me sinto patético às vezes porque;tristeza
i feel very discontent right now;sadness;eu me sinto muito descontente agora;tristeza
i learned what its truely like to feel and be submissive;sadness;eu aprendi o que é realmente sentir e ser submisso;tristeza
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend;sadness;eu me sinto patética porque eu sinto que você nunca me chamou de sua melhor amiga e eu continuei a te chamar de minha melhor amiga e eu fui tratada como uma amiga;tristeza
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me;surprise;entro em coeur d alene estou rodeado por eles e é estranho olhar para eles e pensar que todas estas pessoas são realmente tão loucas como eu;surpresa
i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all;sadness;eu só queria escrever este post porque tenho certeza que como eu, há muitos de nós lutando com o mesmo problema, sentindo-se privados e isolados em um programa tão restrito, mas espero que você perceba que está fazendo isso para si mesmo e não precisa se sentir desse jeito em tudo;tristeza
i still feel so agitated;anger;eu ainda me sinto tão agitado;raiva
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough;anger;eu me sinto insatisfeito e não importa o quão egoísta eu seja ou o quanto de mim eu faça o sábado nunca é o suficiente;raiva
i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic;sadness;eu sinto algo sobre ver fisicamente seus problemas de onde vem a dor parece ser muito terapêutico;tristeza
i just like spoiler cuts they make me feel simultaneously badass and considerate;joy;eu gosto de cortes de spoiler eles me fazem sentir ao mesmo tempo foda e atencioso;alegria
im feeling a little smug too im usually running late for whatever im planning to d;joy;Estou me sentindo um pouco presunçoso também, geralmente estou atrasado para o que estou planejando fazer;alegria
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming;joy;certamente já estive em lugares onde não me senti acolhida e fiz questão de ir para um lugar onde encontrei essa sensação de acolhimento;alegria
i feel amazed i can compress my difficulty so neatly into one sentence;surprise;sinto-me espantado por conseguir resumir a minha dificuldade tão bem numa frase;surpresa
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well;fear;tenho essa sensação de segurança em relação aos personagens que quero fazer se outra pessoa conseguir o papel tenho medo que eles não se saiam bem;medo
i feel like no other day should be less valuable than another because of a certain event is going to happen;joy;eu sinto que nenhum outro dia deveria ser menos valioso do que outro porque um determinado evento vai acontecer;alegria
i loathe stuffed animals they make me feel a bit violent and i have been known to punch them;anger;eu detesto bichos de pelúcia eles me fazem sentir um pouco violento e eu sou conhecido por socá-los;raiva
i feel extraordinarily lively;joy;eu me sinto extraordinariamente animado;alegria
i still feel incredibly frustrated by it;anger;eu ainda me sinto incrivelmente frustrado por isso;raiva
i feel sympathetic toward him he is always suffering through a million responsibilities;love;eu sinto simpatia por ele ele está sempre sofrendo com um milhão de responsabilidades;amar
i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered;joy;fui atraído para a ideia do evento com a promessa de champanhe grátis você me conhece e uma palestra brilhante da autora best-seller kathy lette, mas me senti genuinamente inspirada e empoderada;alegria
i feel as i did when i was troubled easily agitated and indecisive;sadness;me sinto como quando estava perturbado facilmente agitado e indeciso;tristeza
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child;sadness;eu tenho a sensação de que sua fobia sexual é o resultado de ele ter sido abusado sexualmente por sua irmã quando ele era criança;tristeza
i feel content just because of the weather;joy;eu me sinto contente apenas por causa do clima;alegria
i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of;sadness;eu tendo a me sentir muito empático e com muito remorso e culpado até mesmo por coisas que eu não faço parte;tristeza
i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite;sadness;comecei a sentir umas cólicas surdas que duraram cerca de duas horas pensei que talvez os bebés não gostassem do mexicano que é cray cray porque é o meu favorito;tristeza
i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret;love;eu sinto que estou revivendo o prequel novamente outra rainha jedi em um relacionamento romântico tentando manter isso em segredo;amar
i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in;fear;estou no trabalho hoje no meu novo emprego ainda me sinto muito estranho, mas tenho certeza que em breve me estabelecerei;medo
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant;sadness;eu acho que ela tem certeza de que ela não é a vítima, então me sinto muito infeliz com bobo se ela estiver realmente grávida;tristeza
i feel the echoes of the divine so very close;joy;eu sinto os ecos do divino tão perto;alegria
i finished it feeling amazing;joy;eu terminei me sentindo incrível;alegria
i feel so bad to have slacked of on my health but now i need to make the time;sadness;eu me sinto tão mal por ter afrouxado minha saúde, mas agora eu preciso fazer o tempo;tristeza
i feel so special when im wearing this front;joy;eu me sinto tão especial quando estou usando essa frente;alegria
i can totally sympathize with everyone here who doesn t speak native english as i feel like a brain damaged five year old whenever i try to speak japanese for any length of time;sadness;posso simpatizar totalmente com todos aqui que não falam inglês nativo pois sinto-me como uma criança de cinco anos com o cérebro danificado sempre que tento falar japonês por qualquer período de tempo;tristeza
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive;joy;eu o encontrei enquanto procurava um ditado fofo para adicionar aos cartões de mudança de endereço planejando com antecedência e me sentindo positivo;alegria
i had and not having any lingering feelings nor longing for anyone;love;eu tive e não tendo nenhum sentimento persistente nem saudade de ninguém;amar
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted;fear;acabei de ter uma semana tão ruim que ainda estou me sentindo todo agitado e como se o dia não fosse o que eu queria;medo
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing;joy;perdi quilos entre janeiro deste ano e agora tenho essa parte perversa de mim que sente muita vontade de experimentar roupas novas e dizer a mim mesma que mereço roupas novas;alegria
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin;fear;reconheço que não sou gordo por definição, mas me sinto desconfortável na minha pele;medo
i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new;sadness;muitas vezes levanto-me grogue mas depois de meditar e tomar um sumo fresco sinto-me como novo;tristeza
i am feeling so honoured to be a;joy;estou me sentindo tão honrado por ser um;alegria
ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum;joy;Eu tenho sentido as exigências dos meus três amados machos me empurrando e puxando me girando enquanto eu danço ao ritmo de seus tambores;alegria
i feel like in order to live a compassionate life this is an essential piece of the puzzle for me;love;eu sinto que para viver uma vida compassiva esta é uma peça essencial do quebra-cabeça para mim;amar
i still feel the tender touch of a hand in mine;love;eu ainda sinto o toque terno de uma mão na minha;amar
i learned my lesson and would never repeat my mistake i ve seen real child abuse and still do not feel that i abused my child;sadness;aprendi a minha lição e nunca repetiria o meu erro já vi abuso infantil real e ainda não sinto que abusei do meu filho;tristeza
i feel so blessed that i am able to leave there;joy;eu me sinto tão abençoado que eu sou capaz de sair de lá;alegria
i now feel so determined to smash round and really give her something to be proud of;joy;agora me sinto tão determinado a arrebentar e realmente dar a ela algo para se orgulhar;alegria
i feel like i cant handle this deployment or that i am miserable;sadness;sinto que não consigo lidar com essa implantação ou que sou miserável;tristeza
i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed;sadness;eu me sinto tão abatido pela constante ansiedade e frustração de procurar palavras e estar constantemente desapontado;tristeza
i feel like i am not very smart;joy;eu sinto que não sou muito inteligente;alegria
i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy;anger;sinto culpa por estar mal-humorada ontem à noite e não ter abraçado totalmente minha noite a sós com o garoto;raiva
i already feel like ive been accepted into the community here;joy;eu já sinto que fui aceito na comunidade aqui;alegria
i confess to feeling a bit nervous now though there are some very talented people in the group;fear;confesso que estou um pouco nervoso agora apesar de haver algumas pessoas muito talentosas no grupo;medo
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a;anger;eu não esperava ser tão viciado em nicotina antes de experimentar todos os sintomas de abstinência sentindo-me irritado e tão estressado ficando louco com desejos incapacidade de concentrar boca seca problemas para dormir eu acordo todas as noites em um;raiva
i am wondering if i am feeling brave enough to make them for gifts;joy;eu estou me perguntando se estou me sentindo corajoso o suficiente para fazê-los para presentes;alegria
i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this;fear;estou simplesmente a perceber que o mestre homis sabe melhor e se ele sentir que há muita coisa a acontecer ele irá intervir e ajudar com algumas tarefas que realizo e não devo ficar angustiado com isso;medo
i feel so pissed about myself;anger;eu me sinto tão chateado comigo mesmo;raiva
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need;joy;eu gostaria de poder acordar e encontrar a paz ver criancinhas empinando suas pipas pegar esperança e não apenas senti-la mas provar como é delicioso uma palavra de quatro letras pode me dar o abrigo que eu preciso;alegria
i feel that im not talented in baking;joy;eu sinto que não sou talentoso em panificação;alegria
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me;fear;ainda sinto que espero dele pedaços do mundo mas tenho medo de chegar perto e colocar essas expectativas nele de novo com medo de que o inferno me decepcione;medo
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous;fear;consegui comer mais do que normalmente consigo na manhã da corrida principalmente porque o Jon estava lá e não me senti tão nervoso;medo
i see jacque i feel extremely guilty because she still hasn t forgiven me;sadness;vejo jacque me sinto extremamente culpado porque ela ainda não me perdoou;tristeza
i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party;anger;comecei a sentir-me um pouco mal-humorado e mal-humorado e no final das contas normal depois houve um pequeno flash no facebook do meu primo em west meath e de repente estávamos a fazer piadas sem graça e histórias maliciosas sobre o Rudolph Valentino a fazer actos indescritíveis de um lado para o outro e parecia uma festa;raiva
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored;anger;sinto que podem estar a conceber situações hostis, ou seja, guerras e testes de mísseis e a lançar aviões espiões do céu e todo o resto porque na sua maioria têm cromossomas y e porque estão aborrecidos;raiva
i have come off conquerer others i feel i have missed the mark or perhaps the lesson that i was suppose to learn;sadness;saí de conquistador outros sinto que errei o alvo ou talvez a lição que deveria aprender;tristeza
i just yearned for that homey feeling where you are sitting at the river with friends and the sun is hot and warming your skin and you are wearing jean shorts and life is perfect for a day;love;eu apenas ansiava por aquela sensação caseira onde você está sentado no rio com amigos e o sol está quente e aquecendo sua pele e você está vestindo shorts jeans e a vida é perfeita por um dia;amar
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems;fear;comecei a sentir-me estranhamente nervoso e bastante fraco mas resolvi lentamente os problemas e logo estava a tentar os problemas mais difíceis;medo
i feel so divine to be so cared for;joy;eu me sinto tão divina para ser tão cuidada;alegria
im not enjoying winter hate feeling cold and having to dress in so many layers;anger;não estou gostando do inverno odeio sentir frio e ter que me vestir com tantas camadas;raiva
i feel like i should have some wine or something i was amused;joy;eu sinto que eu deveria ter um pouco de vinho ou algo que eu estava me divertindo;alegria
i feel pressured to be the perfect happy woman but it s because i have a hard time letting people in past a certain level so it just is easier to default to happy go lucky which i usually am anyway;fear;sinto-me pressionada a ser a mulher perfeita e feliz mas é porque tenho dificuldade em deixar as pessoas passarem de um certo nível, por isso é mais fácil optar por ser feliz, ter sorte, o que normalmente tenho de qualquer maneira;medo
i feel innocent and free again;joy;eu me sinto inocente e livre novamente;alegria
i hate to feel threatened totally;fear;eu odeio me sentir totalmente ameaçado;medo
when in a car accident where car was total wipe off wipe out;fear;quando em um acidente de carro, onde o carro estava totalmente apagado, apagado;medo
i did not feel disappointed with the performance here;sadness;não me decepcionei com o desempenho aqui;tristeza
i feel a sense of loss when an extremely talented and passionate engineer who wants to work on certain dsp design eventually takes up a job at a financial number crunching software company only because he did not get the right kind of job;joy;sinto uma sensação de perda quando um engenheiro extremamente talentoso e apaixonado que quer trabalhar em determinado design de dsp acaba aceitando um emprego em uma empresa de software de processamento de números financeiros apenas porque não conseguiu o tipo certo de trabalho;alegria
i feel relieved that a rescue party has arrived;joy;eu me sinto aliviado que uma equipe de resgate chegou;alegria
i pushed the feeling aside and contented myself with an apple;joy;afastei o sentimento e me contentei com uma maçã;alegria
i expect ou to win but i feel there strongest competition will be a pretty talented and experienced ok state squad;joy;espero que você vença, mas sinto que a competição mais forte será um time estadual bastante talentoso e experiente;alegria
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way;anger;eu sinto que existem outras opções que não são tão violentas provavelmente mais caras mas igualmente fúteis então qual é o problema em manter os nossos homens e mulheres fora de perigo;raiva
i mention this seemingly obvious little tidbit is that either many of my friends have an innate inability to understand this or they feel hurt and neglected because of it;sadness;eu mencionei este pequeno detalhe aparentemente óbvio é que ou muitos dos meus amigos têm uma incapacidade inata de entender isso ou eles se sentem magoados e negligenciados por causa disso;tristeza
i am terrified and not feeling terribly keen right now;joy;estou apavorada e não me sentindo muito interessada agora;alegria
i feel so alone and im just going out of my mind;sadness;eu me sinto tão sozinho e estou apenas enlouquecendo;tristeza
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality;anger;sei que há algum cinismo envolvido, mas também sei que vem das lições que aprendi nos últimos dois anos de vida e não me sinto ressentido ou prejudicado por causa disso, sinto-me afortunado o suficiente por ter sido espancado na cabeça cabeça com uma dose maior de realidade;raiva
i only need to feel respected and safe;joy;eu só preciso me sentir respeitado e seguro;alegria
i almost feel greedy for believing that i want so much;anger;quase me sinto ganancioso por acreditar que quero tanto;raiva
i feel unease in my room but our living room is very pleasant for me;joy;sinto-me desconfortável no meu quarto, mas a nossa sala de estar é muito agradável para mim;alegria
i did feel complacent that now in britain with the immediate rain life would be that little bit more familiar but nonetheless i have the memories the photos and now i have a goal to work for my gap year and i would be working on that as early as saturday when i would be earning;joy;senti-me complacente que agora na Grã-Bretanha com a chuva imediata a vida seria um pouco mais familiar mas mesmo assim tenho as memórias das fotos e agora tenho um objetivo de trabalhar para o meu ano sabático e estaria a trabalhar nisso já sábado quando eu estaria ganhando;alegria
i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought;joy;senti como se estivesse perdendo o controle do meu corpo e foi difícil para mim me sentir calmo e positivo sobre isso porque não era um pensamento irracional;alegria
i feel you are very charming but do the other people feel very terrible;joy;eu sinto que você é muito charmoso, mas as outras pessoas se sentem muito terríveis;alegria
i start feeling angry i need to actually stop and figure out what im really feeling so i can deal with life in a more balanced way;anger;começo a sentir raiva tenho de realmente parar e perceber o que estou realmente a sentir para poder lidar com a vida de uma forma mais equilibrada;raiva
i feel so invigorated when its cold;joy;eu me sinto tão revigorado quando está frio;alegria
i feel ive been physically uncomfortable for the last months of my life so nothing new there;fear;sinto-me fisicamente desconfortável nos últimos meses da minha vida, então nada de novo aí;temer
i feel more intelligent and strong;joy;me sinto mais inteligente e forte;alegria
i feel invigorated and enthusiastic;joy;sinto-me revigorado e entusiasmado;alegria
i see what being unhealthy does and i can feel the weight that i ve gained back and i am pissed that i let some of it creep back on;anger;vejo o que a falta de saúde faz e posso sentir o peso que ganhei de volta e estou chateado por deixar um pouco disso voltar;raiva
im overreacting or perhaps the feeling i felt was just an amplified reaction to the way she has ignored almost everything ive said in class or the stupid smile and her tone she has been using in those rare cases she hasnt ignored me;sadness;estou a exagerar ou talvez a sensação que senti foi apenas uma reacção amplificada à forma como ela ignorou quase tudo o que eu disse na aula ou o sorriso estúpido e o tom que ela tem usado nos raros casos em que não me ignorou;tristeza
i should just leave him be so he could go on his merry way and so i could stop feeling like i was just unimportant to him now;sadness;eu deveria deixá-lo em paz para que ele pudesse seguir seu caminho alegre e para que eu pudesse parar de sentir que não era importante para ele agora;tristeza
i needed to feel loved and accepted although i falter;love;eu precisava me sentir amado e aceito, embora eu vacile;amar
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive;anger;sinto nojo que qualquer sistema de justiça criminal no século XXI possa saber todos os detalhes de tudo e negar que seja chamado de abusivo;raiva
i tend to feel humiliated when criticized;sadness;costumo me sentir humilhado quando criticado;tristeza
i was overwhelmed with joy when i received the acceptance letter to unza this happened again when i passed all my first year courses;joy;fiquei muito feliz quando recebi a carta de aceitação da unza isso aconteceu novamente quando passei em todos os meus cursos do primeiro ano;alegria
i feel virtuous as ive already done more on it this week than i have for several months;joy;sinto-me virtuoso, pois já fiz mais sobre isso esta semana do que há vários meses;alegria
i feel that when i run i that is me sarah the mind am supporting this body;joy;eu sinto que quando eu corro eu sou eu sarah a mente estou apoiando este corpo;alegria
